ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation
3101011001,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU PANGGANG,208,0,197,2,9
3101021003,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU PARI,63,0,63,0,0
3101021002,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU TIDUNG,146,0,143,3,0
3101021001,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU UNTUNG JAWA,38,0,37,0,1
3174071007,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,421,7,398,5,11
3175021001,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,1409,41,1256,25,87
3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,3033,62,2812,57,102
3174041004,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,1971,61,1809,36,65
3175091005,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,1465,17,1350,28,70
3172031006,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,1399,30,1305,20,44
3172031004,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,1249,34,1152,20,43
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,363,3,340,7,13
3173011003,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,1930,65,1720,38,107
3175031004,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,680,18,631,8,23
3174081003,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,1296,28,1182,15,71
3175061002,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,RAWA TERATE,640,6,604,12,18
3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,1966,37,1796,39,94
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,1838,28,1697,26,87
3173041010,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,127,2,122,2,1
3172041006,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,1267,21,1156,20,70
3174071004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,227,4,211,6,6
3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,1438,46,1312,29,51
3172041007,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,2219,50,2028,44,97
3172041005,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,1130,14,1036,31,49
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,512,3,439,1,69
3171041001,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,525,11,498,10,6
3171031004,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,1541,34,1380,32,95
3174021001,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,355,6,327,4,18
3175101005,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,948,15,863,8,62
3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,1314,29,1218,20,47
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,2039,45,1831,31,132
3174091002,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,2543,39,2326,51,127
3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,1213,19,1106,16,72
3173051002,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,1655,25,1507,29,94
3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,1630,57,1493,21,59
3171031007,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,1323,31,1213,26,53
3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,1216,32,1095,14,75
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,3338,84,3094,69,91
3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,3264,106,2938,65,155
3175091004,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,1554,28,1392,36,98
3173031001,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,737,27,677,13,20
3173041001,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,453,9,412,16,16
3173041004,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,917,31,822,17,47
3171081004,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,1206,27,1112,29,38
3173031004,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,556,21,509,11,15
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,1850,25,1719,36,70
3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,1471,42,1340,30,59
3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,994,37,898,22,37
3172021001,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,1523,38,1363,32,90
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,1647,23,1499,24,101
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,1124,23,1047,17,37
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,2297,84,2070,39,104
3174031004,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,1380,15,1271,21,73
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,1373,34,1246,27,66
3172031005,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,1275,23,1187,21,44
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,2344,64,2157,54,69
3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,1032,19,952,21,40
3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,1672,30,1498,34,110
3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,1871,43,1690,45,93
3175011002,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,1215,21,1130,33,31
3171031008,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,1226,25,1099,25,77
3172021007,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,1668,28,1534,22,84
3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,1496,39,1366,31,60
